dataset,avg_gurobi_reach,avg_gurobi_nodes,avg_gurobi_time,avg_cplex_reach,avg_cplex_nodes,avg_cplex_time
Breast Cancer,357.0,1.0,0.03510358333587642,357.0,0.0,0.07947409152984615
Wine Quality Red,18.0,1.0,0.053556299209594684,18.0,224.0,1.978825831413269
Wine Quality White,20.0,1029.2,120.00637912750244,62.0,6183.0,120.05371270179748
South German Credit,124.0,78012.4,120.00665977001191,169.0,27873.3,120.01479997634888
Crop Mapping,2674.0,1.0,13.604640913009643,2674.0,0.0,44.076621294021606
Cluster,44.0,3040.0,1.4893997430801391,44.0,3746.0,1.467259168624878
Two Cluster,26.0,5843.0,1.2728896141052246,26.0,4935.0,1.503969955444336
Diffused Benchmark,19.0,77658.0,120.00383579730988,19.000000000000142,85922.9,120.01206049919128
Prism,180.0,1.0,0.8772657155990601,180.0,0.0,0.019921994209289508
Truncated Normal Prism,180.0,1.0,2.542320394515991,43.1,2265.3,120.07461261749268
